Uniform Resource Locator,Content,İçerik
https://abdil.one/,Coders weblog,Kodlayıcının blogu
https://ebced.abdil.one/,Some JS page for fun,Eğlence için JS örneklendirmesi
https://forum.libreoffice.org.tr/viewforum.php?f=6,Turkish LO Calc Answers,Hesap Tablosu ile alakalı soru ve yanıtlar
https://github.com/metatronslove/abjad,Repository for User Defined ABJAD Functions,Kullanıcı Tanımlı Ebced Fonksiyonları için Kaynak
https://go.abdil.one/6,Unnecessary to check old versions of these codes,Kodların merak edilmesi gerekmeyen eskilei
https://ruhsalenerji.org,Turkish Islamic Occult Forum,İslami Gizli İlimlerle İlgili İçerik
https://tinyurl.com/1v3fk,ABJAD functions in use Google Sheet sample,Ebced Fonksiyonlarının Google Sheet ile kullanımı
https://tinyurl.com/3bc3dh3s4b1,Alternative download repo possibility,Kaynağı indirme olası alternatifi
https://tinyurl.com/bl4nksh33t,Blank Google Spread Sheet with ABJAD Functions,Ebced Fonksiyonları olan Boş Google E-tablolar dökümanı
https://tinyurl.com/huddam,ABJAD functions in use Google Sheet sample,Ebced Fonksiyonlarının Google Sheet ile kullanımı
https://tinyurl.com/t3stc0d3,ABJAD functions in use Google Sheet sample,Ebced Fonksiyonlarının Google Sheet ile kullanımı
https://www.facebook.com/ebcedmakro,Coders page,Kodlayıcının sayfası
https://www.youtube.com/channel/UCuv0cfdSZ9F0bFTh64n802g,Coders channel,Kodlayıcının kanalı
